Geography,"Allocated
Age0_9
Case
Count
(Raw)","COVID-19
Total Age0_9
Rate
(Suppressed)",Date
Alpine,,,7/8/2020
Anza-Borrego Springs,,,7/8/2020
Carlsbad,6.3,42.3,7/8/2020
Central Region,86.0,120.1,7/8/2020
Central San Diego,17.7,67.6,7/8/2020
Chula Vista,34.2,177.4,7/8/2020
City of Carlsbad,,,7/8/2020
City of Chula Vista,70.9,168.0,7/8/2020
City of Coronado,,,7/8/2020
City of Del Mar,,,7/8/2020
City of El Cajon,27.0,184.6,7/8/2020
City of Encinitas,10.4,140.9,7/8/2020
City of Escondido,30.1,132.2,7/8/2020
City of Imperial Beach,9.0,213.1,7/8/2020
City of La Mesa,6.7,90.7,7/8/2020
City of Lemon Grove,,,7/8/2020
City of National City,18.4,195.3,7/8/2020
City of Oceanside,23.0,90.8,7/8/2020
City of Poway,6.0,89.3,7/8/2020
City of San Diego,158.4,85.7,7/8/2020
City of San Marcos,14.2,100.8,7/8/2020
City of Santee,8.0,106.8,7/8/2020
City of Solana Beach,,,7/8/2020
City of Vista,17.7,111.8,7/8/2020
Coastal,,,7/8/2020
Coronado,,,7/8/2020
Del Mar-Mira Mesa,12.3,57.2,7/8/2020
East Region,87.0,132.8,7/8/2020
El Cajon,32.7,180.0,7/8/2020
Elliott-Navajo,,,7/8/2020
Escondido,33.0,127.7,7/8/2020
Fallbrook,,,7/8/2020
Harbison Crest,,,7/8/2020
Harbison Crest-El Cajon,35.4,174.9,7/8/2020
Jamul,,,7/8/2020
Kearny Mesa,9.8,44.6,7/8/2020
La Mesa,7.1,92.5,7/8/2020
Laguna-Pine Valley,,,7/8/2020
Lakeside,6.2,78.1,7/8/2020
Lemon Grove,,,7/8/2020
Mid-City,31.6,130.6,7/8/2020
Miramar,,,7/8/2020
Mountain Empire,,,7/8/2020
National City,18.3,195.7,7/8/2020
North Central Region,31.0,38.3,7/8/2020
North Coastal Region,62.0,83.2,7/8/2020
North County,132.0,83.4,7/8/2020
North Inland Region,70.0,83.6,7/8/2020
North San Diego,,,7/8/2020
Oceanside,22.1,90.4,7/8/2020
Palomar-Julian,,,7/8/2020
Pauma,,,7/8/2020
Pendleton,,,7/8/2020
Peninsula,,,7/8/2020
Poway,6.8,59.5,7/8/2020
Ramona,,,7/8/2020
San Diego County,478.0,105.6,7/8/2020
San Dieguito,12.7,107.9,7/8/2020
San Marcos,15.4,102.3,7/8/2020
Santee,7.6,106.1,7/8/2020
South Bay,48.0,238.7,7/8/2020
South Region,142.0,186.0,7/8/2020
Southeastern San Diego,39.5,171.6,7/8/2020
Spring Valley,19.8,165.6,7/8/2020
Supervisorial District 1,175.8,185.9,7/8/2020
Supervisorial District 2,102.1,117.8,7/8/2020
Supervisorial District 3,60.7,69.6,7/8/2020
Supervisorial District 4,61.8,67.7,7/8/2020
Supervisorial District 5,77.5,83.6,7/8/2020
Sweetwater,39.0,164.5,7/8/2020
Unincorporated,69.9,101.3,7/8/2020
University,,,7/8/2020
Valley Center,,,7/8/2020
Vista,20.4,122.7,7/8/2020
