Geography,"Allocated
Case
Count
(Raw)","COVID-19
Total Rate
(Suppressed)",Date
Alpine,12.9,80.4,6/12/2020
Anza-Borrego Springs,9.2,179.9,6/12/2020
Carlsbad,104.9,83.6,6/12/2020
Central Region,2038,393.6,6/12/2020
Central San Diego,694.7,332.1,6/12/2020
Chula Vista,780.8,634.3,6/12/2020
City of Carlsbad,90.9,79.3,6/12/2020
City of Chula Vista,1388.2,519,6/12/2020
City of Coronado,25,115.3,6/12/2020
City of Del Mar,6.9,159.6,6/12/2020
City of El Cajon,480.4,455.1,6/12/2020
City of Encinitas,73.6,116.6,6/12/2020
City of Escondido,314.3,207.5,6/12/2020
City of Imperial Beach,130,461.6,6/12/2020
City of La Mesa,141,230.2,6/12/2020
City of Lemon Grove,87,324.2,6/12/2020
City of National City,453.9,729,6/12/2020
City of Oceanside,227.3,128.1,6/12/2020
City of Poway,48.9,97.4,6/12/2020
City of San Diego,4223.1,297.4,6/12/2020
City of San Marcos,120.2,125.5,6/12/2020
City of Santee,74.8,131.2,6/12/2020
City of Solana Beach,12.5,89.5,6/12/2020
City of Vista,142.5,137.9,6/12/2020
Coastal,109.2,127,6/12/2020
Coronado,25,115.3,6/12/2020
Del Mar-Mira Mesa,194.1,113.6,6/12/2020
East Region,1492,307.3,6/12/2020
El Cajon,572.4,435.6,6/12/2020
Elliott-Navajo,130.9,138.3,6/12/2020
Escondido,344.4,198.7,6/12/2020
Fallbrook,44.5,91.5,6/12/2020
Harbison Crest,52.1,344.3,6/12/2020
Harbison Crest-El Cajon,624.5,426.1,6/12/2020
Jamul,72.3,368.8,6/12/2020
Kearny Mesa,304.8,178.5,6/12/2020
La Mesa,145.3,229.4,6/12/2020
Laguna-Pine Valley,,,6/12/2020
Lakeside,139.3,233.8,6/12/2020
Lemon Grove,108.9,353.5,6/12/2020
Mid-City,572.1,334.3,6/12/2020
Miramar,10.3,149.4,6/12/2020
Mountain Empire,21.6,262.8,6/12/2020
National City,452.7,733.3,6/12/2020
North Central Region,896,134.7,6/12/2020
North Coastal Region,613,109,6/12/2020
North County,1463,125.1,6/12/2020
North Inland Region,850,139.9,6/12/2020
North San Diego,142.7,118,6/12/2020
Oceanside,221.9,131,6/12/2020
Palomar-Julian,,,6/12/2020
Pauma,7.5,92,6/12/2020
Pendleton,,,6/12/2020
Peninsula,111.4,159.2,6/12/2020
Poway,82.5,91.4,6/12/2020
Ramona,50.7,144.2,6/12/2020
San Diego County,9314,279.1,6/12/2020
San Dieguito,112.8,111,6/12/2020
San Marcos,136.6,135.2,6/12/2020
Santee,75,138.1,6/12/2020
South Bay,1313.2,976,6/12/2020
South Region,3266,654.6,6/12/2020
Southeastern San Diego,804.7,552.8,6/12/2020
Spring Valley,316.4,376.5,6/12/2020
Supervisorial District 1,3931.4,626.1,6/12/2020
Supervisorial District 2,1746.7,266.9,6/12/2020
Supervisorial District 3,888.3,132.7,6/12/2020
Supervisorial District 4,1842.5,259.4,6/12/2020
Supervisorial District 5,746.2,110.5,6/12/2020
Sweetwater,637,425.1,6/12/2020
Unincorporated,1114.6,217.2,6/12/2020
University,52.2,72,6/12/2020
Valley Center,28.7,125.9,6/12/2020
Vista,149.9,138.7,6/12/2020
