Geography,"Allocated
Case
Count
(Raw)","COVID-19
Total Rate
(Suppressed)",Date
Alpine,467.9,2896.8,12/13/2020
Anza-Borrego Springs,60.2,1152.9,12/13/2020
Carlsbad,2095.5,1656.8,12/13/2020
Central Region,20334.0,3947.3,12/13/2020
Central San Diego,6823.1,3235.3,12/13/2020
Chula Vista,6760.0,5448.9,12/13/2020
City of Carlsbad,1756.7,1524.2,12/13/2020
City of Chula Vista,13024.8,4798.3,12/13/2020
City of Coronado,382.0,1578.6,12/13/2020
City of Del Mar,61.0,1379.3,12/13/2020
City of El Cajon,4799.5,4538.0,12/13/2020
City of Encinitas,994.8,1570.0,12/13/2020
City of Escondido,5048.6,3305.1,12/13/2020
City of Imperial Beach,1234.0,4495.8,12/13/2020
City of La Mesa,1465.8,2411.2,12/13/2020
City of Lemon Grove,1099.0,4039.3,12/13/2020
City of National City,3136.0,5040.0,12/13/2020
City of Oceanside,4693.0,2636.9,12/13/2020
City of Poway,801.1,1592.1,12/13/2020
City of San Diego,42901.2,3020.2,12/13/2020
City of San Marcos,2552.9,2599.8,12/13/2020
City of Santee,1367.4,2342.0,12/13/2020
City of Solana Beach,172.3,1236.0,12/13/2020
City of Vista,3411.0,3345.5,12/13/2020
Coastal,1979.0,2275.2,12/13/2020
Coronado,382.0,1578.6,12/13/2020
Del Mar-Mira Mesa,2439.1,1426.4,12/13/2020
East Region,17474.0,3575.3,12/13/2020
El Cajon,5901.5,4459.7,12/13/2020
Elliott-Navajo,1811.5,1891.6,12/13/2020
Escondido,5629.3,3211.5,12/13/2020
Fallbrook,1221.3,2463.6,12/13/2020
Harbison Crest,596.7,3938.2,12/13/2020
Harbison Crest-El Cajon,6498.2,4406.2,12/13/2020
Jamul,831.3,4386.0,12/13/2020
Kearny Mesa,3801.5,2223.0,12/13/2020
La Mesa,1520.9,2416.9,12/13/2020
Laguna-Pine Valley,102.1,1784.3,12/13/2020
Lakeside,1698.9,2823.3,12/13/2020
Lemon Grove,1281.4,4135.5,12/13/2020
Mid-City,6790.1,4024.6,12/13/2020
Miramar,124.8,1700.6,12/13/2020
Mountain Empire,376.2,4571.8,12/13/2020
National City,3121.1,5056.5,12/13/2020
North Central Region,12124.0,1812.3,12/13/2020
North Coastal Region,12299.0,2193.8,12/13/2020
North County,26775.0,2276.0,12/13/2020
North Inland Region,14476.0,2350.9,12/13/2020
North San Diego,1569.3,1287.0,12/13/2020
Oceanside,4593.7,2710.5,12/13/2020
Palomar-Julian,93.3,1191.9,12/13/2020
Pauma,281.7,3337.6,12/13/2020
Pendleton,209.0,506.2,12/13/2020
Peninsula,1251.2,1764.4,12/13/2020
Poway,1338.2,1477.9,12/13/2020
Ramona,959.3,2676.4,12/13/2020
San Diego County,109578.0,3269.2,12/13/2020
San Dieguito,1551.4,1526.0,12/13/2020
San Marcos,2812.8,2721.7,12/13/2020
Santee,1314.5,2368.4,12/13/2020
South Bay,10224.0,7746.5,12/13/2020
South Region,27512.0,5474.6,12/13/2020
Southeastern San Diego,7128.0,4970.7,12/13/2020
Spring Valley,3538.9,4181.8,12/13/2020
Supervisorial District 1,33411.3,5315.6,12/13/2020
Supervisorial District 2,21554.4,3275.2,12/13/2020
Supervisorial District 3,12487.6,1852.5,12/13/2020
Supervisorial District 4,20538.3,2880.6,12/13/2020
Supervisorial District 5,16227.3,2393.2,12/13/2020
Sweetwater,6514.0,4254.9,12/13/2020
Unincorporated,15317.9,2970.6,12/13/2020
University,774.4,1067.4,12/13/2020
Valley Center,605.9,2611.1,12/13/2020
Vista,3643.9,3397.1,12/13/2020
