Geography,"Allocated
Case
Count
(Raw)","COVID-19
Total Rate
(Suppressed)",Date
Alpine,378.3,2341.8,12/7/2020
Anza-Borrego Springs,42.9,820.9,12/7/2020
Carlsbad,1802.6,1425.2,12/7/2020
Central Region,18416.0,3574.9,12/7/2020
Central San Diego,6201.3,2940.4,12/7/2020
Chula Vista,6033.5,4863.3,12/7/2020
City of Carlsbad,1518.4,1317.5,12/7/2020
City of Chula Vista,11590.3,4269.8,12/7/2020
City of Coronado,356.0,1471.1,12/7/2020
City of Del Mar,52.0,1174.1,12/7/2020
City of El Cajon,4238.9,4008.0,12/7/2020
City of Encinitas,876.9,1383.8,12/7/2020
City of Escondido,4328.0,2833.4,12/7/2020
City of Imperial Beach,1107.0,4033.1,12/7/2020
City of La Mesa,1319.2,2170.0,12/7/2020
City of Lemon Grove,951.0,3495.3,12/7/2020
City of National City,2807.4,4512.0,12/7/2020
City of Oceanside,4024.0,2261.0,12/7/2020
City of Poway,723.3,1437.4,12/7/2020
City of San Diego,38319.2,2697.6,12/7/2020
City of San Marcos,2185.2,2225.4,12/7/2020
City of Santee,1183.5,2027.1,12/7/2020
City of Solana Beach,155.3,1114.2,12/7/2020
City of Vista,2822.3,2768.0,12/7/2020
Coastal,1808.7,2079.5,12/7/2020
Coronado,356.0,1471.1,12/7/2020
Del Mar-Mira Mesa,2149.9,1257.3,12/7/2020
East Region,15357.0,3142.1,12/7/2020
El Cajon,5211.9,3938.6,12/7/2020
Elliott-Navajo,1575.3,1644.8,12/7/2020
Escondido,4828.5,2754.6,12/7/2020
Fallbrook,1047.7,2113.3,12/7/2020
Harbison Crest,524.9,3464.2,12/7/2020
Harbison Crest-El Cajon,5736.8,3889.9,12/7/2020
Jamul,716.0,3777.9,12/7/2020
Kearny Mesa,3404.0,1990.6,12/7/2020
La Mesa,1368.4,2174.4,12/7/2020
Laguna-Pine Valley,90.6,1584.0,12/7/2020
Lakeside,1481.6,2462.2,12/7/2020
Lemon Grove,1113.6,3594.0,12/7/2020
Mid-City,6201.3,3675.6,12/7/2020
Miramar,109.1,1486.8,12/7/2020
Mountain Empire,337.1,4097.2,12/7/2020
National City,2794.4,4527.3,12/7/2020
North Central Region,10788.0,1612.6,12/7/2020
North Coastal Region,10448.0,1863.6,12/7/2020
North County,22945.0,1950.4,12/7/2020
North Inland Region,12497.0,2029.5,12/7/2020
North San Diego,1365.7,1120.0,12/7/2020
Oceanside,3932.2,2320.2,12/7/2020
Palomar-Julian,87.6,1119.5,12/7/2020
Pauma,241.0,2855.6,12/7/2020
Pendleton,162.0,392.4,12/7/2020
Peninsula,1140.9,1608.9,12/7/2020
Poway,1182.6,1306.0,12/7/2020
Ramona,837.6,2336.8,12/7/2020
San Diego County,95445.0,2847.6,12/7/2020
San Dieguito,1364.7,1342.3,12/7/2020
San Marcos,2406.2,2328.3,12/7/2020
Santee,1138.2,2050.8,12/7/2020
South Bay,8949.5,6780.9,12/7/2020
South Region,24351.0,4845.6,12/7/2020
Southeastern San Diego,6366.9,4439.9,12/7/2020
Spring Valley,3135.4,3705.0,12/7/2020
Supervisorial District 1,29673.2,4720.9,12/7/2020
Supervisorial District 2,19017.4,2889.7,12/7/2020
Supervisorial District 3,10825.4,1605.9,12/7/2020
Supervisorial District 4,18559.0,2603.0,12/7/2020
Supervisorial District 5,13782.1,2032.6,12/7/2020
Sweetwater,5771.7,3770.0,12/7/2020
Unincorporated,13299.1,2579.1,12/7/2020
University,662.3,912.9,12/7/2020
Valley Center,520.5,2243.0,12/7/2020
Vista,3014.4,2810.2,12/7/2020
