Geography,"Allocated
Case
Count
(Raw)","COVID-19
Total Rate
(Suppressed)",Date
Alpine,336.4,2082.3,11/30/2020
Anza-Borrego Springs,29.5,563.8,11/30/2020
Carlsbad,1560.4,1233.7,11/30/2020
Central Region,16624.0,3227.1,11/30/2020
Central San Diego,5602.9,2656.7,11/30/2020
Chula Vista,5339.9,4304.2,11/30/2020
City of Carlsbad,1310.4,1137.0,11/30/2020
City of Chula Vista,10257.0,3778.6,11/30/2020
City of Coronado,320.0,1322.4,11/30/2020
City of Del Mar,46.3,1046.8,11/30/2020
City of El Cajon,3728.1,3524.9,11/30/2020
City of Encinitas,767.2,1210.7,11/30/2020
City of Escondido,3672.1,2403.9,11/30/2020
City of Imperial Beach,995.0,3625.0,11/30/2020
City of La Mesa,1164.7,1915.8,11/30/2020
City of Lemon Grove,815.0,2995.4,11/30/2020
City of National City,2533.8,4072.2,11/30/2020
City of Oceanside,3500.1,1966.6,11/30/2020
City of Poway,609.5,1211.4,11/30/2020
City of San Diego,34238.5,2410.3,11/30/2020
City of San Marcos,1869.3,1903.7,11/30/2020
City of Santee,1010.8,1731.2,11/30/2020
City of Solana Beach,135.1,969.1,11/30/2020
City of Vista,2387.0,2341.1,11/30/2020
Coastal,1643.7,1889.7,11/30/2020
Coronado,320.0,1322.4,11/30/2020
Del Mar-Mira Mesa,1892.1,1106.6,11/30/2020
East Region,13455.0,2753.0,11/30/2020
El Cajon,4578.1,3459.6,11/30/2020
Elliott-Navajo,1389.9,1451.3,11/30/2020
Escondido,4102.9,2340.7,11/30/2020
Fallbrook,911.1,1837.7,11/30/2020
Harbison Crest,461.0,3042.7,11/30/2020
Harbison Crest-El Cajon,5039.1,3416.8,11/30/2020
Jamul,634.4,3347.0,11/30/2020
Kearny Mesa,3014.5,1762.8,11/30/2020
La Mesa,1207.4,1918.7,11/30/2020
Laguna-Pine Valley,68.4,1196.3,11/30/2020
Lakeside,1294.6,2151.4,11/30/2020
Lemon Grove,961.3,3102.5,11/30/2020
Mid-City,5641.2,3343.6,11/30/2020
Miramar,95.5,1301.2,11/30/2020
Mountain Empire,291.1,3537.9,11/30/2020
National City,2522.6,4087.0,11/30/2020
North Central Region,9575.0,1431.3,11/30/2020
North Coastal Region,9024.0,1609.6,11/30/2020
North County,19715.0,1675.9,11/30/2020
North Inland Region,10691.0,1736.2,11/30/2020
North San Diego,1156.3,948.3,11/30/2020
Oceanside,3406.8,2010.2,11/30/2020
Palomar-Julian,84.0,1073.1,11/30/2020
Pauma,216.9,2569.9,11/30/2020
Pendleton,150.0,363.3,11/30/2020
Peninsula,1030.2,1452.8,11/30/2020
Poway,1017.9,1124.1,11/30/2020
Ramona,756.0,2109.0,11/30/2020
San Diego County,83421.0,2488.9,11/30/2020
San Dieguito,1193.9,1174.4,11/30/2020
San Marcos,2045.2,1979.0,11/30/2020
Santee,973.5,1753.9,11/30/2020
South Bay,7959.6,6030.8,11/30/2020
South Region,21638.0,4305.8,11/30/2020
Southeastern San Diego,5688.1,3966.6,11/30/2020
Spring Valley,2768.8,3271.7,11/30/2020
Supervisorial District 1,26418.1,4203.0,11/30/2020
Supervisorial District 2,16710.7,2539.2,11/30/2020
Supervisorial District 3,9320.4,1382.7,11/30/2020
Supervisorial District 4,16695.6,2341.6,11/30/2020
Supervisorial District 5,11862.2,1749.5,11/30/2020
Sweetwater,5109.5,3337.4,11/30/2020
Unincorporated,11647.1,2258.7,11/30/2020
University,553.1,762.4,11/30/2020
Valley Center,439.3,1893.3,11/30/2020
Vista,2559.0,2385.7,11/30/2020
