Geography,"Allocated
Case
Count
(Raw)","COVID-19
Total Rate
(Suppressed)",Date
Alpine,121.6,752.9,10/19/2020
Anza-Borrego Springs,21.7,414.4,10/19/2020
Carlsbad,949.0,750.3,10/19/2020
Central Region,11456.0,2223.9,10/19/2020
Central San Diego,3777.1,1791.0,10/19/2020
Chula Vista,3606.2,2906.8,10/19/2020
City of Carlsbad,813.1,705.5,10/19/2020
City of Chula Vista,6806.6,2507.5,10/19/2020
City of Coronado,209.0,863.7,10/19/2020
City of Del Mar,29.1,657.8,10/19/2020
City of El Cajon,2085.9,1972.3,10/19/2020
City of Encinitas,455.4,718.7,10/19/2020
City of Escondido,2345.0,1535.1,10/19/2020
City of Imperial Beach,671.0,2444.6,10/19/2020
City of La Mesa,743.7,1223.4,10/19/2020
City of Lemon Grove,513.0,1885.5,10/19/2020
City of National City,1817.9,2921.6,10/19/2020
City of Oceanside,2146.3,1205.9,10/19/2020
City of Poway,362.1,719.7,10/19/2020
City of San Diego,22809.3,1605.7,10/19/2020
City of San Marcos,1182.6,1204.3,10/19/2020
City of Santee,569.3,975.0,10/19/2020
City of Solana Beach,72.4,519.0,10/19/2020
City of Vista,1346.7,1320.8,10/19/2020
Coastal,1074.9,1235.8,10/19/2020
Coronado,209.0,863.7,10/19/2020
Del Mar-Mira Mesa,1175.0,687.2,10/19/2020
East Region,7879.0,1612.1,10/19/2020
El Cajon,2562.2,1936.2,10/19/2020
Elliott-Navajo,831.4,868.1,10/19/2020
Escondido,2598.4,1482.4,10/19/2020
Fallbrook,605.1,1220.6,10/19/2020
Harbison Crest,257.1,1696.8,10/19/2020
Harbison Crest-El Cajon,2819.3,1911.6,10/19/2020
Jamul,382.1,2015.9,10/19/2020
Kearny Mesa,1859.2,1087.2,10/19/2020
La Mesa,770.8,1224.8,10/19/2020
Laguna-Pine Valley,22.5,393.2,10/19/2020
Lakeside,753.4,1252.0,10/19/2020
Lemon Grove,613.3,1979.4,10/19/2020
Mid-City,3953.5,2343.3,10/19/2020
Miramar,60.9,830.4,10/19/2020
Mountain Empire,137.0,1664.4,10/19/2020
National City,1810.9,2933.8,10/19/2020
North Central Region,5994.0,896.0,10/19/2020
North Coastal Region,5392.0,961.8,10/19/2020
North County,12075.0,1026.4,10/19/2020
North Inland Region,6683.0,1085.3,10/19/2020
North San Diego,724.9,594.5,10/19/2020
Oceanside,2093.6,1235.3,10/19/2020
Palomar-Julian,52.5,670.2,10/19/2020
Pauma,145.4,1723.4,10/19/2020
Pendleton,103.0,249.5,10/19/2020
Peninsula,673.7,950.1,10/19/2020
Poway,615.9,680.1,10/19/2020
Ramona,401.9,1121.1,10/19/2020
San Diego County,53000.0,1581.2,10/19/2020
San Dieguito,706.1,694.5,10/19/2020
San Marcos,1293.6,1251.7,10/19/2020
Santee,549.4,989.9,10/19/2020
South Bay,5371.6,4069.9,10/19/2020
South Region,14580.0,2901.3,10/19/2020
Southeastern San Diego,3924.3,2736.6,10/19/2020
Spring Valley,1785.3,2109.6,10/19/2020
Supervisorial District 1,17933.3,2853.1,10/19/2020
Supervisorial District 2,9926.6,1508.4,10/19/2020
Supervisorial District 3,5799.3,860.3,10/19/2020
Supervisorial District 4,11074.3,1553.2,10/19/2020
Supervisorial District 5,7250.4,1069.3,10/19/2020
Sweetwater,3335.1,2178.4,10/19/2020
Unincorporated,7005.8,1358.6,10/19/2020
University,347.6,479.1,10/19/2020
Valley Center,258.2,1112.8,10/19/2020
Vista,1449.6,1351.4,10/19/2020
