Geography,"Allocated
Age60_69
Case
Count
(Raw)","COVID-19
Total
Age60_69
Rate
(Suppressed)",Date
Alpine,6.3,291.1,7/14/2020
Anza-Borrego Springs,,,7/14/2020
Carlsbad,28.7,187.5,7/14/2020
Central Region,408.0,858.7,7/14/2020
Central San Diego,121.6,619.2,7/14/2020
Chula Vista,149.3,1356.7,7/14/2020
City of Carlsbad,23.3,163.9,7/14/2020
City of Chula Vista,272.0,1170.0,7/14/2020
City of Coronado,5.0,216.4,7/14/2020
City of Del Mar,,,7/14/2020
City of El Cajon,103.2,860.5,7/14/2020
City of Encinitas,12.1,143.2,7/14/2020
City of Escondido,82.1,528.1,7/14/2020
City of Imperial Beach,21.0,777.5,7/14/2020
City of La Mesa,20.2,277.2,7/14/2020
City of Lemon Grove,19.0,674.7,7/14/2020
City of National City,82.4,1708.6,7/14/2020
City of Oceanside,61.1,319.3,7/14/2020
City of Poway,12.0,186.8,7/14/2020
City of San Diego,786.7,551.0,7/14/2020
City of San Marcos,24.1,262.5,7/14/2020
City of Santee,21.2,317.5,7/14/2020
City of Solana Beach,,,7/14/2020
City of Vista,51.1,498.4,7/14/2020
Coastal,23.8,258.5,7/14/2020
Coronado,5.0,216.4,7/14/2020
Del Mar-Mira Mesa,42.9,229.6,7/14/2020
East Region,328.0,581.4,7/14/2020
El Cajon,123.4,821.3,7/14/2020
Elliott-Navajo,21.7,198.9,7/14/2020
Escondido,90.3,508.3,7/14/2020
Fallbrook,18.7,311.2,7/14/2020
Harbison Crest,11.3,642.1,7/14/2020
Harbison Crest-El Cajon,134.7,802.5,7/14/2020
Jamul,20.1,885.7,7/14/2020
Kearny Mesa,60.6,336.5,7/14/2020
La Mesa,20.8,275.4,7/14/2020
Laguna-Pine Valley,,,7/14/2020
Lakeside,28.1,393.1,7/14/2020
Lemon Grove,24.1,752.4,7/14/2020
Mid-City,100.2,630.8,7/14/2020
Miramar,,,7/14/2020
Mountain Empire,5.3,506.8,7/14/2020
National City,82.0,1723.5,7/14/2020
North Central Region,169.0,239.2,7/14/2020
North Coastal Region,172.0,279.4,7/14/2020
North County,399.0,308.0,7/14/2020
North Inland Region,227.0,333.9,7/14/2020
North San Diego,37.1,271.1,7/14/2020
Oceanside,59.2,327.1,7/14/2020
Palomar-Julian,,,7/14/2020
Pauma,,,7/14/2020
Pendleton,,,7/14/2020
Peninsula,18.4,236.4,7/14/2020
Poway,20.9,186.6,7/14/2020
Ramona,14.8,325.7,7/14/2020
San Diego County,1874.0,539.1,7/14/2020
San Dieguito,21.4,158.1,7/14/2020
San Marcos,28.4,290.7,7/14/2020
Santee,20.6,324.0,7/14/2020
South Bay,192.0,1717.0,7/14/2020
South Region,570.0,1310.7,7/14/2020
Southeastern San Diego,196.1,1454.2,7/14/2020
Spring Valley,71.4,778.3,7/14/2020
Supervisorial District 1,725.3,1356.7,7/14/2020
Supervisorial District 2,379.1,492.7,7/14/2020
Supervisorial District 3,202.7,273.0,7/14/2020
Supervisorial District 4,350.3,490.1,7/14/2020
Supervisorial District 5,216.7,303.0,7/14/2020
Sweetwater,129.2,999.9,7/14/2020
Unincorporated,273.3,477.0,7/14/2020
University,6.1,93.4,7/14/2020
Valley Center,10.4,366.9,7/14/2020
Vista,55.8,519.7,7/14/2020
