Geography,"Allocated
Age70_79
Case
Count
(Raw)","COVID-19
Total
Age70_79
Rate
(Suppressed)",Date
Alpine,,,6/24/2020
Anza-Borrego Springs,,,6/24/2020
Carlsbad,7.2,80.1,6/24/2020
Central Region,131.0,496.7,6/24/2020
Central San Diego,48.8,423.0,6/24/2020
Chula Vista,37.4,575.8,6/24/2020
City of Carlsbad,6.1,74.0,6/24/2020
City of Chula Vista,71.7,536.8,6/24/2020
City of Coronado,,,6/24/2020
City of Del Mar,,,6/24/2020
City of El Cajon,71.2,1019.7,6/24/2020
City of Encinitas,,,6/24/2020
City of Escondido,34.0,379.9,6/24/2020
City of Imperial Beach,6.0,438.6,6/24/2020
City of La Mesa,10.7,251.2,6/24/2020
City of Lemon Grove,6.0,410.4,6/24/2020
City of National City,31.1,1129.7,6/24/2020
City of Oceanside,12.0,108.2,6/24/2020
City of Poway,,,6/24/2020
City of San Diego,291.1,352.7,6/24/2020
City of San Marcos,7.4,130.4,6/24/2020
City of Santee,,,6/24/2020
City of Solana Beach,,,6/24/2020
City of Vista,8.3,145.4,6/24/2020
Coastal,13.0,207.8,6/24/2020
Coronado,,,6/24/2020
Del Mar-Mira Mesa,16.1,161.6,6/24/2020
East Region,151.0,469.1,6/24/2020
El Cajon,83.7,960.0,6/24/2020
Elliott-Navajo,5.8,81.2,6/24/2020
Escondido,37.2,360.0,6/24/2020
Fallbrook,6.4,157.7,6/24/2020
Harbison Crest,7.5,736.7,6/24/2020
Harbison Crest-El Cajon,91.3,936.6,6/24/2020
Jamul,,,6/24/2020
Kearny Mesa,24.2,231.6,6/24/2020
La Mesa,11.1,250.5,6/24/2020
Laguna-Pine Valley,,,6/24/2020
Lakeside,13.6,328.0,6/24/2020
Lemon Grove,7.3,438.3,6/24/2020
Mid-City,24.2,279.9,6/24/2020
Miramar,,,6/24/2020
Mountain Empire,,,6/24/2020
National City,30.9,1138.8,6/24/2020
North Central Region,72.0,170.6,6/24/2020
North Coastal Region,39.0,109.2,6/24/2020
North County,139.0,183.6,6/24/2020
North Inland Region,100.0,250.2,6/24/2020
North San Diego,26.7,343.4,6/24/2020
Oceanside,12.4,118.8,6/24/2020
Palomar-Julian,,,6/24/2020
Pauma,,,6/24/2020
Pendleton,,,6/24/2020
Peninsula,8.9,196.7,6/24/2020
Poway,7.7,124.1,6/24/2020
Ramona,,,6/24/2020
San Diego County,674.0,334.8,6/24/2020
San Dieguito,8.4,107.3,6/24/2020
San Marcos,9.8,164.5,6/24/2020
Santee,,,6/24/2020
South Bay,67.6,1123.5,6/24/2020
South Region,181.0,727.4,6/24/2020
Southeastern San Diego,62.0,876.0,6/24/2020
Spring Valley,21.4,422.5,6/24/2020
Supervisorial District 1,237.8,786.6,6/24/2020
Supervisorial District 2,164.8,371.6,6/24/2020
Supervisorial District 3,98.2,231.6,6/24/2020
Supervisorial District 4,118.0,281.9,6/24/2020
Supervisorial District 5,55.2,129.9,6/24/2020
Sweetwater,37.3,512.9,6/24/2020
Unincorporated,103.5,308.1,6/24/2020
University,9.0,206.2,6/24/2020
Valley Center,,,6/24/2020
Vista,7.2,119.9,6/24/2020
