Geography,"Allocated
Case
Count
(Raw)","COVID-19
Total Rate
(Suppressed)",Date
Alpine,17.4,108.4,6/22/2020
Anza-Borrego Springs,9.2,179.9,6/22/2020
Carlsbad,145.4,115.9,6/22/2020
Central Region,2514.0,485.5,6/22/2020
Central San Diego,840.1,401.7,6/22/2020
Chula Vista,927.7,753.6,6/22/2020
City of Carlsbad,124.3,108.5,6/22/2020
City of Chula Vista,1639.9,613.1,6/22/2020
City of Coronado,32.0,147.6,6/22/2020
City of Del Mar,8.2,188.6,6/22/2020
City of El Cajon,531.4,503.4,6/22/2020
City of Encinitas,86.5,137.0,6/22/2020
City of Escondido,406.5,268.3,6/22/2020
City of Imperial Beach,167.0,593.0,6/22/2020
City of La Mesa,168.9,275.7,6/22/2020
City of Lemon Grove,120.0,447.2,6/22/2020
City of National City,539.8,867.0,6/22/2020
City of Oceanside,308.4,173.9,6/22/2020
City of Poway,66.9,133.2,6/22/2020
City of San Diego,5081.5,357.9,6/22/2020
City of San Marcos,157.3,164.2,6/22/2020
City of Santee,95.9,168.2,6/22/2020
City of Solana Beach,17.7,127.3,6/22/2020
City of Vista,208.1,201.3,6/22/2020
Coastal,158.7,184.7,6/22/2020
Coronado,32.0,147.6,6/22/2020
Del Mar-Mira Mesa,250.7,146.7,6/22/2020
East Region,1773.0,365.2,6/22/2020
El Cajon,637.7,485.2,6/22/2020
Elliott-Navajo,156.9,165.9,6/22/2020
Escondido,446.2,257.5,6/22/2020
Fallbrook,70.4,144.9,6/22/2020
Harbison Crest,61.0,402.6,6/22/2020
Harbison Crest-El Cajon,698.7,476.7,6/22/2020
Jamul,84.6,432.0,6/22/2020
Kearny Mesa,361.3,211.6,6/22/2020
La Mesa,174.9,276.1,6/22/2020
Laguna-Pine Valley,,,6/22/2020
Lakeside,160.1,268.6,6/22/2020
Lemon Grove,146.4,475.4,6/22/2020
Mid-City,721.2,421.5,6/22/2020
Miramar,12.4,180.1,6/22/2020
Mountain Empire,32.9,400.3,6/22/2020
National City,538.5,872.3,6/22/2020
North Central Region,1105.0,166.1,6/22/2020
North Coastal Region,829.0,147.4,6/22/2020
North County,1931.0,165.1,6/22/2020
North Inland Region,1102.0,181.4,6/22/2020
North San Diego,175.1,144.8,6/22/2020
Oceanside,301.3,177.8,6/22/2020
Palomar-Julian,,,6/22/2020
Pauma,10.4,127.2,6/22/2020
Pendleton,,,6/22/2020
Peninsula,125.0,178.8,6/22/2020
Poway,108.6,120.4,6/22/2020
Ramona,55.8,158.6,6/22/2020
San Diego County,11294.0,338.4,6/22/2020
San Dieguito,136.7,134.6,6/22/2020
San Marcos,178.8,177.1,6/22/2020
Santee,94.8,174.5,6/22/2020
South Bay,1487.4,1105.5,6/22/2020
South Region,3791.0,759.9,6/22/2020
Southeastern San Diego,988.2,678.8,6/22/2020
Spring Valley,387.5,461.1,6/22/2020
Supervisorial District 1,4625.3,736.6,6/22/2020
Supervisorial District 2,2084.2,318.4,6/22/2020
Supervisorial District 3,1130.0,168.8,6/22/2020
Supervisorial District 4,2251.5,317.0,6/22/2020
Supervisorial District 5,1022.9,151.5,6/22/2020
Sweetwater,746.7,498.2,6/22/2020
Unincorporated,1353.7,263.8,6/22/2020
University,67.3,92.8,6/22/2020
Valley Center,36.8,161.6,6/22/2020
Vista,217.3,201.1,6/22/2020
