Geography,"Allocated
Case
Count
(Raw)","COVID-19
Total Rate
(Suppressed)",Date
Alpine,97.8,605.3,9/7/2020
Anza-Borrego Springs,18.1,346.6,9/7/2020
Carlsbad,741.2,586.0,9/7/2020
Central Region,8841.0,1716.2,9/7/2020
Central San Diego,2860.0,1356.1,9/7/2020
Chula Vista,2786.8,2246.3,9/7/2020
City of Carlsbad,646.9,561.3,9/7/2020
City of Chula Vista,5199.4,1915.4,9/7/2020
City of Coronado,167.0,690.1,9/7/2020
City of Del Mar,22.9,516.3,9/7/2020
City of El Cajon,1704.9,1612.0,9/7/2020
City of Encinitas,335.1,528.9,9/7/2020
City of Escondido,1810.9,1185.5,9/7/2020
City of Imperial Beach,515.0,1876.3,9/7/2020
City of La Mesa,609.1,1002.0,9/7/2020
City of Lemon Grove,426.0,1565.7,9/7/2020
City of National City,1509.7,2426.2,9/7/2020
City of Oceanside,1585.5,890.9,9/7/2020
City of Poway,250.4,497.6,9/7/2020
City of San Diego,17551.3,1235.6,9/7/2020
City of San Marcos,914.8,931.6,9/7/2020
City of Santee,407.7,698.2,9/7/2020
City of Solana Beach,56.0,401.6,9/7/2020
City of Vista,998.0,978.8,9/7/2020
Coastal,763.6,877.9,9/7/2020
Coronado,167.0,690.1,9/7/2020
Del Mar-Mira Mesa,927.0,542.1,9/7/2020
East Region,6309.0,1290.9,9/7/2020
El Cajon,2088.3,1578.1,9/7/2020
Elliott-Navajo,604.9,631.6,9/7/2020
Escondido,2003.9,1143.2,9/7/2020
Fallbrook,481.5,971.3,9/7/2020
Harbison Crest,207.4,1368.7,9/7/2020
Harbison Crest-El Cajon,2295.7,1556.6,9/7/2020
Jamul,290.5,1532.7,9/7/2020
Kearny Mesa,1413.6,826.7,9/7/2020
La Mesa,630.5,1002.0,9/7/2020
Laguna-Pine Valley,21.0,367.3,9/7/2020
Lakeside,594.6,988.1,9/7/2020
Lemon Grove,508.0,1639.5,9/7/2020
Mid-City,2890.3,1713.1,9/7/2020
Miramar,50.0,681.6,9/7/2020
Mountain Empire,97.8,1188.2,9/7/2020
National City,1505.0,2438.3,9/7/2020
North Central Region,4474.0,668.8,9/7/2020
North Coastal Region,4059.0,724.0,9/7/2020
North County,9201.0,782.1,9/7/2020
North Inland Region,5142.0,835.1,9/7/2020
North San Diego,558.5,458.1,9/7/2020
Oceanside,1551.2,915.2,9/7/2020
Palomar-Julian,37.3,476.7,9/7/2020
Pauma,129.6,1535.5,9/7/2020
Pendleton,93.0,225.3,9/7/2020
Peninsula,499.5,704.4,9/7/2020
Poway,436.6,482.2,9/7/2020
Ramona,289.4,807.3,9/7/2020
San Diego County,41077.0,1225.5,9/7/2020
San Dieguito,525.8,517.2,9/7/2020
San Marcos,999.9,967.6,9/7/2020
Santee,396.3,714.0,9/7/2020
South Bay,4258.3,3226.4,9/7/2020
South Region,11414.0,2271.3,9/7/2020
Southeastern San Diego,3231.7,2253.6,9/7/2020
Spring Valley,1431.6,1691.6,9/7/2020
Supervisorial District 1,14186.3,2257.0,9/7/2020
Supervisorial District 2,7709.0,1171.4,9/7/2020
Supervisorial District 3,4463.3,662.1,9/7/2020
Supervisorial District 4,8331.7,1168.5,9/7/2020
Supervisorial District 5,5548.7,818.3,9/7/2020
Sweetwater,2520.2,1646.1,9/7/2020
Unincorporated,5528.5,1072.1,9/7/2020
University,249.5,343.9,9/7/2020
Valley Center,200.2,863.0,9/7/2020
Vista,1081.6,1008.4,9/7/2020
