Geography,"Allocated
Age50_59
Case
Count
(Raw)","COVID-19
Total
Age50_59
Rate
(Suppressed)",Date
Alpine,,,6/17/2020
Anza-Borrego Springs,,,6/17/2020
Carlsbad,22.7,129.6,6/17/2020
Central Region,343.0,569.9,6/17/2020
Central San Diego,106.0,437.4,6/17/2020
Chula Vista,160.9,1092.6,6/17/2020
City of Carlsbad,20.5,125.3,6/17/2020
City of Chula Vista,282.5,877.8,6/17/2020
City of Coronado,,,6/17/2020
City of Del Mar,,,6/17/2020
City of El Cajon,66.0,474.7,6/17/2020
City of Encinitas,17.6,203.9,6/17/2020
City of Escondido,45.9,248.1,6/17/2020
City of Imperial Beach,25.0,721.5,6/17/2020
City of La Mesa,21.5,265.5,6/17/2020
City of Lemon Grove,15.0,454.1,6/17/2020
City of National City,92.0,1430.8,6/17/2020
City of Oceanside,46.1,205.2,6/17/2020
City of Poway,15.0,210.8,6/17/2020
City of San Diego,711.7,408.9,6/17/2020
City of San Marcos,21.7,191.2,6/17/2020
City of Santee,17.1,219.2,6/17/2020
City of Solana Beach,,,6/17/2020
City of Vista,26.7,209.2,6/17/2020
Coastal,12.0,120.0,6/17/2020
Coronado,,,6/17/2020
Del Mar-Mira Mesa,45.6,192.2,6/17/2020
East Region,254.0,394.9,6/17/2020
El Cajon,79.8,459.6,6/17/2020
Elliott-Navajo,25.9,215.7,6/17/2020
Escondido,48.8,231.8,6/17/2020
Fallbrook,8.4,135.4,6/17/2020
Harbison Crest,8.2,401.7,6/17/2020
Harbison Crest-El Cajon,88.0,453.6,6/17/2020
Jamul,13.8,524.5,6/17/2020
Kearny Mesa,39.2,182.5,6/17/2020
La Mesa,22.5,268.9,6/17/2020
Laguna-Pine Valley,,,6/17/2020
Lakeside,26.8,326.3,6/17/2020
Lemon Grove,19.8,522.8,6/17/2020
Mid-City,93.6,456.8,6/17/2020
Miramar,,,6/17/2020
Mountain Empire,5.0,481.9,6/17/2020
National City,91.7,1440.4,6/17/2020
North Central Region,135.0,163.7,6/17/2020
North Coastal Region,127.0,179.6,6/17/2020
North County,271.0,181.7,6/17/2020
North Inland Region,144.0,183.7,6/17/2020
North San Diego,24.4,147.3,6/17/2020
Oceanside,44.1,206.3,6/17/2020
Palomar-Julian,,,6/17/2020
Pauma,,,6/17/2020
Pendleton,,,6/17/2020
Peninsula,10.3,128.6,6/17/2020
Poway,21.5,165.1,6/17/2020
Ramona,9.0,177.7,6/17/2020
San Diego County,1641.0,395.2,6/17/2020
San Dieguito,26.1,184.0,6/17/2020
San Marcos,25.5,211.2,6/17/2020
Santee,16.8,225.7,6/17/2020
South Bay,240.5,1519.1,6/17/2020
South Region,638.0,1079.7,6/17/2020
Southeastern San Diego,151.5,884.2,6/17/2020
Spring Valley,59.2,551.0,6/17/2020
Supervisorial District 1,747.5,1030.8,6/17/2020
Supervisorial District 2,305.0,351.1,6/17/2020
Supervisorial District 3,158.5,179.9,6/17/2020
Supervisorial District 4,286.8,338.7,6/17/2020
Supervisorial District 5,143.2,172.5,6/17/2020
Sweetwater,128.9,711.9,6/17/2020
Unincorporated,207.6,325.7,6/17/2020
University,,,6/17/2020
Valley Center,,,6/17/2020
Vista,28.9,217.6,6/17/2020
