Geography,"Allocated
Case
Count
(Raw)","COVID-19
Total Rate
(Suppressed)",Date
Alpine,125.2,775.2,10/22/2020
Anza-Borrego Springs,21.8,416.2,10/22/2020
Carlsbad,974.0,770.1,10/22/2020
Central Region,11601.0,2252.0,10/22/2020
Central San Diego,3842.2,1821.8,10/22/2020
Chula Vista,3659.9,2950.1,10/22/2020
City of Carlsbad,834.4,724.0,10/22/2020
City of Chula Vista,6906.2,2544.2,10/22/2020
City of Coronado,216.0,892.6,10/22/2020
City of Del Mar,30.4,686.1,10/22/2020
City of El Cajon,2121.7,2006.1,10/22/2020
City of Encinitas,471.6,744.2,10/22/2020
City of Escondido,2382.3,1559.6,10/22/2020
City of Imperial Beach,681.0,2481.1,10/22/2020
City of La Mesa,750.6,1234.7,10/22/2020
City of Lemon Grove,519.0,1907.5,10/22/2020
City of National City,1856.4,2983.5,10/22/2020
City of Oceanside,2190.3,1230.7,10/22/2020
City of Poway,372.1,739.5,10/22/2020
City of San Diego,23149.2,1629.7,10/22/2020
City of San Marcos,1208.5,1230.7,10/22/2020
City of Santee,581.3,995.7,10/22/2020
City of Solana Beach,74.6,535.3,10/22/2020
City of Vista,1383.1,1356.5,10/22/2020
Coastal,1088.6,1251.6,10/22/2020
Coronado,216.0,892.6,10/22/2020
Del Mar-Mira Mesa,1196.8,699.9,10/22/2020
East Region,8020.0,1640.9,10/22/2020
El Cajon,2608.4,1971.2,10/22/2020
Elliott-Navajo,856.2,894.0,10/22/2020
Escondido,2639.7,1506.0,10/22/2020
Fallbrook,610.8,1232.1,10/22/2020
Harbison Crest,263.5,1739.3,10/22/2020
Harbison Crest-El Cajon,2872.0,1947.3,10/22/2020
Jamul,387.4,2043.9,10/22/2020
Kearny Mesa,1901.1,1111.7,10/22/2020
La Mesa,778.1,1236.5,10/22/2020
Laguna-Pine Valley,22.7,397.4,10/22/2020
Lakeside,771.8,1282.6,10/22/2020
Lemon Grove,620.3,2002.0,10/22/2020
Mid-City,3999.7,2370.7,10/22/2020
Miramar,61.4,837.4,10/22/2020
Mountain Empire,143.1,1739.5,10/22/2020
National City,1849.5,2996.4,10/22/2020
North Central Region,6107.0,912.9,10/22/2020
North Coastal Region,5531.0,986.6,10/22/2020
North County,12329.0,1048.0,10/22/2020
North Inland Region,6798.0,1104.0,10/22/2020
North San Diego,738.1,605.3,10/22/2020
Oceanside,2135.6,1260.1,10/22/2020
Palomar-Julian,53.3,681.2,10/22/2020
Pauma,148.0,1754.1,10/22/2020
Pendleton,109.0,264.0,10/22/2020
Peninsula,683.9,964.4,10/22/2020
Poway,628.0,693.6,10/22/2020
Ramona,407.8,1137.8,10/22/2020
San Diego County,53928.0,1608.9,10/22/2020
San Dieguito,729.6,717.6,10/22/2020
San Marcos,1322.0,1279.1,10/22/2020
Santee,561.0,1010.8,10/22/2020
South Bay,5448.2,4128.0,10/22/2020
South Region,14805.0,2946.1,10/22/2020
Southeastern San Diego,3960.7,2761.9,10/22/2020
Spring Valley,1814.3,2143.9,10/22/2020
Supervisorial District 1,18190.7,2894.1,10/22/2020
Supervisorial District 2,10108.5,1536.0,10/22/2020
Supervisorial District 3,5905.3,876.0,10/22/2020
Supervisorial District 4,11248.5,1577.6,10/22/2020
Supervisorial District 5,7409.0,1092.7,10/22/2020
Sweetwater,3381.7,2208.9,10/22/2020
Unincorporated,7133.3,1383.4,10/22/2020
University,353.4,487.0,10/22/2020
Valley Center,261.7,1127.7,10/22/2020
Vista,1487.4,1386.7,10/22/2020
