Geography,"Allocated
Case
Count
(Raw)","COVID-19
Total Rate
(Suppressed)",Date
Alpine,116.8,722.9,10/7/2020
Anza-Borrego Springs,18.8,358.8,10/7/2020
Carlsbad,885.1,699.8,10/7/2020
Central Region,10897.0,2115.3,10/7/2020
Central San Diego,3584.7,1699.8,10/7/2020
Chula Vista,3359.0,2707.6,10/7/2020
City of Carlsbad,760.0,659.4,10/7/2020
City of Chula Vista,6335.1,2333.8,10/7/2020
City of Coronado,191.0,789.3,10/7/2020
City of Del Mar,27.2,615.4,10/7/2020
City of El Cajon,1953.3,1846.8,10/7/2020
City of Encinitas,413.5,652.6,10/7/2020
City of Escondido,2155.1,1410.8,10/7/2020
City of Imperial Beach,628.0,2288.0,10/7/2020
City of La Mesa,703.5,1157.3,10/7/2020
City of Lemon Grove,498.0,1830.3,10/7/2020
City of National City,1686.9,2711.1,10/7/2020
City of Oceanside,2004.0,1126.0,10/7/2020
City of Poway,328.2,652.3,10/7/2020
City of San Diego,21416.1,1507.7,10/7/2020
City of San Marcos,1107.6,1128.0,10/7/2020
City of Santee,533.1,913.0,10/7/2020
City of Solana Beach,63.0,451.5,10/7/2020
City of Vista,1226.6,1203.0,10/7/2020
Coastal,997.3,1146.6,10/7/2020
Coronado,191.0,789.3,10/7/2020
Del Mar-Mira Mesa,1097.0,641.5,10/7/2020
East Region,7348.0,1503.5,10/7/2020
El Cajon,2393.0,1808.4,10/7/2020
Elliott-Navajo,747.0,780.0,10/7/2020
Escondido,2389.7,1363.3,10/7/2020
Fallbrook,568.0,1145.7,10/7/2020
Harbison Crest,238.8,1576.0,10/7/2020
Harbison Crest-El Cajon,2631.8,1784.5,10/7/2020
Jamul,348.6,1839.2,10/7/2020
Kearny Mesa,1709.3,999.6,10/7/2020
La Mesa,728.7,1157.9,10/7/2020
Laguna-Pine Valley,22.3,389.9,10/7/2020
Lakeside,698.9,1161.4,10/7/2020
Lemon Grove,592.3,1911.7,10/7/2020
Mid-City,3774.0,2236.9,10/7/2020
Miramar,57.8,787.4,10/7/2020
Mountain Empire,120.7,1466.7,10/7/2020
National City,1680.7,2722.9,10/7/2020
North Central Region,5514.0,824.3,10/7/2020
North Coastal Region,4980.0,888.3,10/7/2020
North County,11190.0,951.2,10/7/2020
North Inland Region,6210.0,1008.5,10/7/2020
North San Diego,680.6,558.1,10/7/2020
Oceanside,1951.9,1151.7,10/7/2020
Palomar-Julian,48.5,619.9,10/7/2020
Pauma,142.0,1682.3,10/7/2020
Pendleton,96.0,232.5,10/7/2020
Peninsula,611.5,862.3,10/7/2020
Poway,565.2,624.2,10/7/2020
Ramona,372.0,1037.9,10/7/2020
San Diego County,49466.0,1475.8,10/7/2020
San Dieguito,639.0,628.6,10/7/2020
San Marcos,1208.3,1169.2,10/7/2020
Santee,514.3,926.6,10/7/2020
South Bay,5016.8,3801.1,10/7/2020
South Region,13573.0,2700.9,10/7/2020
Southeastern San Diego,3716.8,2591.9,10/7/2020
Spring Valley,1647.3,1946.6,10/7/2020
Supervisorial District 1,16748.5,2664.6,10/7/2020
Supervisorial District 2,9249.3,1405.4,10/7/2020
Supervisorial District 3,5352.9,794.1,10/7/2020
Supervisorial District 4,10424.0,1462.0,10/7/2020
Supervisorial District 5,6747.3,995.1,10/7/2020
Sweetwater,3098.4,2023.8,10/7/2020
Unincorporated,6491.8,1259.0,10/7/2020
University,322.1,443.9,10/7/2020
Valley Center,245.0,1056.0,10/7/2020
Vista,1326.8,1237.0,10/7/2020
