Geography,"Allocated
API Case
Count
(Raw)","COVID-19
Total API
Rate
(Suppressed)",Date
Alpine,,,6/24/2020
Anza-Borrego Springs,,,6/24/2020
Carlsbad,8.2,80.2,6/24/2020
Central Region,169.0,281.5,6/24/2020
Central San Diego,37.8,252.7,6/24/2020
Chula Vista,41.3,400.6,6/24/2020
City of Carlsbad,6.1,64.2,6/24/2020
City of Chula Vista,123.9,346.9,6/24/2020
City of Coronado,,,6/24/2020
City of Del Mar,,,6/24/2020
City of El Cajon,24.1,497.3,6/24/2020
City of Encinitas,,,6/24/2020
City of Escondido,18.0,168.9,6/24/2020
City of Imperial Beach,,,6/24/2020
City of La Mesa,9.6,259.3,6/24/2020
City of Lemon Grove,,,6/24/2020
City of National City,37.8,357.1,6/24/2020
City of Oceanside,13.0,94.7,6/24/2020
City of Poway,13.0,211.8,6/24/2020
City of San Diego,350.7,156.6,6/24/2020
City of San Marcos,5.7,64.1,6/24/2020
City of Santee,13.0,470.6,6/24/2020
City of Solana Beach,,,6/24/2020
City of Vista,7.8,127.1,6/24/2020
Coastal,9.3,155.7,6/24/2020
Coronado,,,6/24/2020
Del Mar-Mira Mesa,53.5,97.4,6/24/2020
East Region,73.0,287.0,6/24/2020
El Cajon,28.5,482.9,6/24/2020
Elliott-Navajo,11.3,107.4,6/24/2020
Escondido,20.5,166.8,6/24/2020
Fallbrook,,,6/24/2020
Harbison Crest,,,6/24/2020
Harbison Crest-El Cajon,31.0,475.6,6/24/2020
Jamul,,,6/24/2020
Kearny Mesa,26.2,114.7,6/24/2020
La Mesa,9.7,253.8,6/24/2020
Laguna-Pine Valley,,,6/24/2020
Lakeside,,,6/24/2020
Lemon Grove,5.1,211.0,6/24/2020
Mid-City,38.7,175.8,6/24/2020
Miramar,,,6/24/2020
Mountain Empire,,,6/24/2020
National City,37.6,358.1,6/24/2020
North Central Region,111.0,92.7,6/24/2020
North Coastal Region,33.0,86.7,6/24/2020
North County,125.0,110.4,6/24/2020
North Inland Region,92.0,122.5,6/24/2020
North San Diego,38.5,124.2,6/24/2020
Oceanside,11.4,87.6,6/24/2020
Palomar-Julian,,,6/24/2020
Pauma,,,6/24/2020
Pendleton,,,6/24/2020
Peninsula,,,6/24/2020
Poway,19.2,120.5,6/24/2020
Ramona,,,6/24/2020
San Diego County,682.0,180.0,6/24/2020
San Dieguito,5.3,88.2,6/24/2020
San Marcos,6.1,65.4,6/24/2020
Santee,12.0,456.9,6/24/2020
South Bay,32.8,287.7,6/24/2020
South Region,204.0,337.2,6/24/2020
Southeastern San Diego,92.9,393.9,6/24/2020
Spring Valley,10.5,173.6,6/24/2020
Supervisorial District 1,250.3,338.8,6/24/2020
Supervisorial District 2,99.4,243.6,6/24/2020
Supervisorial District 3,134.5,99.8,6/24/2020
Supervisorial District 4,158.1,196.0,6/24/2020
Supervisorial District 5,39.8,81.6,6/24/2020
Sweetwater,85.6,329.8,6/24/2020
Unincorporated,50.6,153.2,6/24/2020
University,7.7,37.7,6/24/2020
Valley Center,,,6/24/2020
Vista,7.8,129.8,6/24/2020
