Geography,Case,Rate,Date
Alpine,,,4/5/2020
Anza-Borrego Springs,,,4/5/2020
Carlsbad,43.58,34.7503,4/5/2020
Central Region,324,62.5735,4/5/2020
Central San Diego,165.94,79.3335,4/5/2020
Chula Vista,44.11,35.8301,4/5/2020
City of Carlsbad,42.74,37.2904,4/5/2020
City of Chula Vista,103.77,38.7923,4/5/2020
City of Coronado,,,4/5/2020
City of Del Mar,,,4/5/2020
City of El Cajon,67.83,64.2637,4/5/2020
City of Encinitas,27.92,44.2076,4/5/2020
City of Escondido,30.07,19.8489,4/5/2020
City of Imperial Beach,7,24.8553,4/5/2020
City of La Mesa,21.92,35.777,4/5/2020
City of Lemon Grove,13,48.446,4/5/2020
City of National City,25.27,40.5827,4/5/2020
City of Oceanside,33.03,18.6255,4/5/2020
City of Poway,13.97,27.8247,4/5/2020
City of San Diego,708.1,49.8718,4/5/2020
City of San Marcos,20.67,21.5836,4/5/2020
City of Santee,15.09,26.4748,4/5/2020
City of Solana Beach,,,4/5/2020
City of Vista,23.12,22.3685,4/5/2020
Coastal,49.99,58.1635,4/5/2020
Coronado,,,4/5/2020
Del Mar-Mira Mesa,68.23,39.9315,4/5/2020
East Region,210,43.2538,4/5/2020
El Cajon,82.29,62.6151,4/5/2020
Elliott-Navajo,45.22,47.8099,4/5/2020
Escondido,36.53,21.0853,4/5/2020
Fallbrook,5.61,11.5563,4/5/2020
Harbison Crest,7.17,47.35,4/5/2020
Harbison Crest-El Cajon,89.46,61.0374,4/5/2020
Jamul,5.61,28.6187,4/5/2020
Kearny Mesa,74.57,43.6663,4/5/2020
La Mesa,22.4,35.3658,4/5/2020
Laguna-Pine Valley,,,4/5/2020
Lakeside,19.28,32.3556,4/5/2020
Lemon Grove,14.84,48.1961,4/5/2020
Mid-City,85.95,50.2288,4/5/2020
Miramar,,,4/5/2020
Mountain Empire,,,4/5/2020
National City,24.92,40.3712,4/5/2020
North Central Region,276,41.4804,4/5/2020
North Coastal Region,163,28.9897,4/5/2020
North County,321,27.4389,4/5/2020
North Inland Region,158,26.0037,4/5/2020
North San Diego,54.54,45.1059,4/5/2020
Oceanside,31.07,18.3379,4/5/2020
Palomar-Julian,,,4/5/2020
Pauma,,,4/5/2020
Pendleton,,,4/5/2020
Peninsula,18.68,26.7067,4/5/2020
Poway,24.78,27.4561,4/5/2020
Ramona,7.92,22.5138,4/5/2020
San Diego County,1404,42.068,4/5/2020
San Dieguito,49.19,48.4,4/5/2020
San Marcos,20.33,20.137,4/5/2020
Santee,14.69,27.0653,4/5/2020
South Bay,54.82,40.7436,4/5/2020
South Region,197,39.4862,4/5/2020
Southeastern San Diego,79.21,54.4089,4/5/2020
Spring Valley,41.37,49.23,4/5/2020
Supervisorial District 1,265.19,42.2314,4/5/2020
Supervisorial District 2,268.58,41.0328,4/5/2020
Supervisorial District 3,233.52,34.8797,4/5/2020
Supervisorial District 4,402.46,56.6606,4/5/2020
Supervisorial District 5,158.24,23.4383,4/5/2020
Sweetwater,64.06,42.7462,4/5/2020
Unincorporated,161.54,31.4818,4/5/2020
University,29.2,40.2728,4/5/2020
Valley Center,,,4/5/2020
Vista,23.42,21.6735,4/5/2020
