Geography,"Allocated
Age50_59
Case
Count
(Raw)","COVID-19
Total
Age50_59
Rate
(Suppressed)",Date
Alpine,,,6/24/2020
Anza-Borrego Springs,,,6/24/2020
Carlsbad,28.68,163.55,6/24/2020
Central Region,404.00,671.22,6/24/2020
Central San Diego,124.62,514.32,6/24/2020
Chula Vista,176.65,1199.33,6/24/2020
City of Carlsbad,24.49,149.77,6/24/2020
City of Chula Vista,313.98,975.51,6/24/2020
City of Coronado,,,6/24/2020
City of Del Mar,,,6/24/2020
City of El Cajon,70.92,509.76,6/24/2020
City of Encinitas,17.64,203.89,6/24/2020
City of Escondido,58.18,314.68,6/24/2020
City of Imperial Beach,27.00,779.22,6/24/2020
City of La Mesa,23.69,293.07,6/24/2020
City of Lemon Grove,22.00,666.06,6/24/2020
City of National City,98.81,1536.78,6/24/2020
City of Oceanside,57.08,254.34,6/24/2020
City of Poway,18.96,267.04,6/24/2020
City of San Diego,800.56,460.01,6/24/2020
City of San Marcos,26.29,231.69,6/24/2020
City of Santee,19.13,245.06,6/24/2020
City of Solana Beach,,,6/24/2020
City of Vista,33.30,261.30,6/24/2020
Coastal,12.80,127.51,6/24/2020
Coronado,,,6/24/2020
Del Mar-Mira Mesa,50.49,212.68,6/24/2020
East Region,292.00,453.94,6/24/2020
El Cajon,86.23,496.66,6/24/2020
Elliott-Navajo,26.52,220.69,6/24/2020
Escondido,62.35,296.20,6/24/2020
Fallbrook,13.91,224.85,6/24/2020
Harbison Crest,9.32,457.38,6/24/2020
Harbison Crest-El Cajon,95.55,492.54,6/24/2020
Jamul,14.35,545.87,6/24/2020
Kearny Mesa,44.75,208.36,6/24/2020
La Mesa,24.84,297.04,6/24/2020
Laguna-Pine Valley,,,6/24/2020
Lakeside,31.90,388.12,6/24/2020
Lemon Grove,27.42,725.62,6/24/2020
Mid-City,109.53,534.75,6/24/2020
Miramar,,,6/24/2020
Mountain Empire,7.00,674.70,6/24/2020
National City,98.43,1546.57,6/24/2020
North Central Region,150.00,181.89,6/24/2020
North Coastal Region,151.00,213.54,6/24/2020
North County,326.00,218.61,6/24/2020
North Inland Region,175.00,223.19,6/24/2020
North San Diego,25.19,151.95,6/24/2020
Oceanside,53.85,251.97,6/24/2020
Palomar-Julian,,,6/24/2020
Pauma,,,6/24/2020
Pendleton,,,6/24/2020
Peninsula,11.34,141.03,6/24/2020
Poway,26.09,200.39,6/24/2020
Ramona,9.98,198.02,6/24/2020
San Diego County,1864.00,448.95,6/24/2020
San Dieguito,26.38,186.21,6/24/2020
San Marcos,30.48,252.88,6/24/2020
Santee,18.81,252.97,6/24/2020
South Bay,254.28,1605.90,6/24/2020
South Region,692.00,1171.13,6/24/2020
Southeastern San Diego,179.41,1047.00,6/24/2020
Spring Valley,69.53,647.65,6/24/2020
Supervisorial District 1,824.67,1137.28,6/24/2020
Supervisorial District 2,349.62,402.45,6/24/2020
Supervisorial District 3,180.95,205.35,6/24/2020
Supervisorial District 4,330.62,390.46,6/24/2020
Supervisorial District 5,178.13,214.58,6/24/2020
Sweetwater,145.52,803.84,6/24/2020
Unincorporated,242.32,380.26,6/24/2020
University,5.05,70.36,6/24/2020
Valley Center,,,6/24/2020
Vista,36.23,272.31,6/24/2020
