Geography,"Allocated
Age30_39
Case
Count
(Raw)","COVID-19
Total
Age30_39
Rate
(Suppressed)",Date
Alpine,,,6/17/2020
Anza-Borrego Springs,,,6/17/2020
Carlsbad,22.6,144.3,6/17/2020
Central Region,457.0,568.7,6/17/2020
Central San Diego,177.1,485.4,6/17/2020
Chula Vista,176.1,1138.7,6/17/2020
City of Carlsbad,20.3,144.2,6/17/2020
City of Chula Vista,290.4,862.8,6/17/2020
City of Coronado,5.0,178.0,6/17/2020
City of Del Mar,,,6/17/2020
City of El Cajon,58.4,428.5,6/17/2020
City of Encinitas,12.3,149.2,6/17/2020
City of Escondido,55.7,294.1,6/17/2020
City of Imperial Beach,25.0,612.4,6/17/2020
City of La Mesa,27.0,287.2,6/17/2020
City of Lemon Grove,15.0,435.3,6/17/2020
City of National City,73.9,938.7,6/17/2020
City of Oceanside,35.0,147.2,6/17/2020
City of Poway,,,6/17/2020
City of San Diego,930.4,437.3,6/17/2020
City of San Marcos,16.4,138.6,6/17/2020
City of Santee,16.1,214.4,6/17/2020
City of Solana Beach,,,6/17/2020
City of Vista,27.6,203.4,6/17/2020
Coastal,17.7,103.4,6/17/2020
Coronado,5.0,178.0,6/17/2020
Del Mar-Mira Mesa,34.1,157.4,6/17/2020
East Region,246.0,389.0,6/17/2020
El Cajon,70.0,414.3,6/17/2020
Elliott-Navajo,35.4,262.7,6/17/2020
Escondido,61.1,283.7,6/17/2020
Fallbrook,,,6/17/2020
Harbison Crest,6.7,349.0,6/17/2020
Harbison Crest-El Cajon,76.7,407.7,6/17/2020
Jamul,13.4,584.5,6/17/2020
Kearny Mesa,74.4,271.9,6/17/2020
La Mesa,27.8,286.9,6/17/2020
Laguna-Pine Valley,,,6/17/2020
Lakeside,24.6,328.1,6/17/2020
Lemon Grove,19.0,480.7,6/17/2020
Mid-City,115.2,450.1,6/17/2020
Miramar,,,6/17/2020
Mountain Empire,8.1,882.4,6/17/2020
National City,73.8,945.1,6/17/2020
North Central Region,184.0,180.8,6/17/2020
North Coastal Region,103.0,144.1,6/17/2020
North County,235.0,161.3,6/17/2020
North Inland Region,132.0,177.8,6/17/2020
North San Diego,15.3,102.0,6/17/2020
Oceanside,34.6,152.3,6/17/2020
Palomar-Julian,,,6/17/2020
Pauma,,,6/17/2020
Pendleton,,,6/17/2020
Peninsula,10.5,93.7,6/17/2020
Poway,11.8,114.0,6/17/2020
Ramona,12.8,312.0,6/17/2020
San Diego County,1813.0,397.9,6/17/2020
San Dieguito,15.8,124.0,6/17/2020
San Marcos,18.7,148.9,6/17/2020
Santee,15.8,222.1,6/17/2020
South Bay,305.6,1649.0,6/17/2020
South Region,691.0,1070.4,6/17/2020
Southeastern San Diego,170.3,879.7,6/17/2020
Spring Valley,61.5,572.1,6/17/2020
Supervisorial District 1,852.4,1033.9,6/17/2020
Supervisorial District 2,296.7,352.6,6/17/2020
Supervisorial District 3,155.1,175.6,6/17/2020
Supervisorial District 4,386.1,332.6,6/17/2020
Supervisorial District 5,122.7,145.0,6/17/2020
Sweetwater,120.0,633.6,6/17/2020
Unincorporated,199.9,321.9,6/17/2020
University,9.5,87.2,6/17/2020
Valley Center,6.7,248.2,6/17/2020
Vista,27.7,196.8,6/17/2020
